Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Tangle,https://www.readtangle.com/,"Summarizing the best arguments from across the political spectrum. 100% independent, ad-free, and non-partisan.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/tanglebrain.png?width=75&height=75&resize=contain,False,"['politics', 'news']",467095,True,305K,True,-486718,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/tangle.jpg,#fff,#0040ff,#0040ff,en,3521707.6,51870,True,4ad84b4f-0231-4647-8a2c-ba2a527089fa,1659639201,1744732539
The Lever,https://www.levernews.com/,Award-winning journalist and Oscar-nominated writer David Sirota conducts investigative journalism about holding people and corporations manipulating the levers of power accountable.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660696003354-LEVERFavicon-BorderWhite.png?width=75&height=75&resize=contain,False,"['politics', 'news']",150006,True,,False,-79002,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/thelever.jpeg?width=600&height=426&resize=cover,#ffffff,#323A57,#333333,en,150006,0,True,770bf2a2-a29d-4344-bd1d-ddc718a9c585,1658238420,1744820458
Welcome to Hell World,https://www.welcometohellworld.com/,“Luke O’Neil’s Welcome To Hell World is a vital and despairing collection of essays on modern American life.” -Longreads,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682868044156-hell%20world%20logo.jpg?width=75&height=75&resize=contain,False,['politics'],24746,True,9K,True,1297218,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/hellworld_feature.webp?width=600&height=426&resize=cover,#15171A,#E0DCC7,#c1ba8a,en,115088.3,25,True,f8e046f2-c086-4164-a38d-ca3535a24471,1660057872,1744752903
FrameLab,https://www.theframelab.org/,"A newsletter about language, politics and your brain. Gil Durán and Dr. George Lakoff",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1738248108174-FrameLab-souncloud-800.jpg?width=75&height=75&resize=contain,False,['politics'],14561,True,5K,True,2084218,False,,,,#195cff,en,67188.79999999999,60,True,f266f8a4-1bc7-47be-ac91-8d063a20823e,1725330326,1744641904
The Nerd Reich,https://www.thenerdreich.com/,The Nerd Reich | extreme billionaire politics of silicon valley,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725496010597-DALL-E-2024-04-03-14.46.45---A-futuristic-scene-depicting-a--Gray-Pride-Parade--in-San-Francisco.-The-setting-is-Market-Street--with-a-clear-view-of-the-urban-landscape.-Drones-ar.webp?width=75&height=75&resize=contain,False,['politics'],8323,True,3K,True,4547799,False,,,,#000000,en,42335.39999999999,52,True,212227ad-fc0c-419f-a35c-dfe6edb5ee85,1725330656,1744658025
Whale Hunting,https://whalehunting.projectbrazen.com/,Weekly newsletter delving into the secret worlds of money and power from co-authors of Billion Dollar Whale and Blood and Oil.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1728264216024-whale-hunting-favicon.png?width=75&height=75&resize=contain,False,['politics'],8094,True,1K,True,1028372,False,,,,#288EEA,en,22781.8,6,True,3bf15230-a1b7-4a36-b8c3-91de5b02f891,1671373345,1744431891
Luật Khoa tạp chí,https://www.luatkhoa.com/,"An independent and nonprofit Vietnamese-language magazine focusing on Vietnam's legal and political affairs, including human rights. We say no to censorship and self-censorship.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1662045558456-Logo-LK-Square.png?width=75&height=75&resize=contain,False,['politics'],19246,True,,False,26941,False,,,,#883a1d,en,19246,15,True,da82af1a-debe-42d8-98be-6a2309cca0eb,1662045560,1744806049
The Reframe,https://www.the-reframe.com/,Free Weekly Essays on Politics and Fiction from author A.R. Moxon. Pay what you want support model.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1739980764185-reframe---Copy.jpg?width=75&height=75&resize=contain,False,['politics'],16838,True,,False,1185431,False,,,,#1a9cff,en,16838,13,True,1f7f9ea6-1eba-413d-aa50-8a13b7936d6b,1708353933,1744465388
Citizen Press,https://citizen-press.ghost.io/,"Independent, Citizen-Driven Political News",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1728983256818-Citizen-Press--1-.png?width=75&height=75&resize=contain,False,['politics'],16596,True,,False,11482574,False,,,,#ED0100,en,16596,0,True,dfb22a07-bbce-42aa-a1cc-aa76d9c73d7c,1728983258,1728981634
Forward Kentucky,https://forwardky.com/,The progressive voice for Kentucky politics,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1694231649205-EtsyIcon.png?width=75&height=75&resize=contain,False,['politics'],963,True,1K,True,1252441,False,,,,#162fac,en,12919.5,2,False,1f5a6e65-61b1-4456-9ede-444b197c429c,1671543099,1744734779
indi.ca,https://indi.ca/,"About the end of the world, the end of America, the end of 'Israel, etc",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725098728945-indica-mini-swastika.png?width=75&height=75&resize=contain,False,['politics'],2671,True,884,True,308460,False,,,,#000000,en,11513.2,0,True,b7f4ee0c-1d1a-4357-8986-bbdfc0e5004a,1660275158,1744642993
@Westenberg,https://www.joanwestenberg.com/,Tech + Politics + Humans,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1726656604945-Add-a-heading.png?width=75&height=75&resize=contain,False,['politics'],7212,True,,False,724152,False,,,,#F23003,en,7212,15,True,a2f7a1a4-b609-4259-8b15-20f3bfb61d80,1726656606,1744756678
The Conscious Citizens,https://www.theconsciouscitizens.org/,"A directory, newsletter, and online global community dedicated to building collective consciousness & community power.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1738614553063-CC-LogoA-2.png?width=75&height=75&resize=contain,False,['politics'],6164,True,,False,10493527,False,,,,#bdd527,en,6164,114,True,5739ecce-0406-4c52-9671-217ed8b4b619,1730077940,1744761418
Gabrielius Landsbergis,https://landsbergis.com/,"Gabrielius Landsbergis, Former Foreign Affairs Minister of Lithuania",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1739976045236-gabrielius_landsbergis_g_1200x1200-1.png?width=75&height=75&resize=contain,False,['politics'],5861,True,,False,10493845,False,,,,#1193a8,en,5861,35,True,25da2bd6-5ae6-42fb-aa64-c118242361bb,1736192958,1744620666
Unprecedented,https://unprecedented.ghost.io/,A newsletter for people who care that democracy's bleeding to death and the planet's on fire. Ad-free and paywall-free thanks to the support of paid subscribers.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1722649222856-TDE%20logo%20150%20x%20150.jpg?width=75&height=75&resize=contain,False,['politics'],5071,True,,False,3086682,False,,,,#212fd2,en,5071,1,True,f1435b8d-5095-4a55-9c66-0218b8e8ffcd,1682472376,1744841417
Michael Slaby,https://www.michaelslaby.com/,"Part strategist, part ethicist, part generative futurist. 7Bridges is my weekly(ish) newsletter on media & information, culture & meaning, politics & government — and finding better ways forward.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1738267760226-MJS_sq.jpeg?width=75&height=75&resize=contain,False,['politics'],4156,True,,False,731514,False,,,,#ffba19,en,4156,17,True,c91600b6-c243-456c-9f32-27c64d7d41e2,1738267761,1744564394
The Lorem Ipsum,https://danielkherndon.com/,"A Funny Email About Serious Topics. It’s your source for news, politics, and humor, written by Daniel Herndon in the USA.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682105947634-Icon-1.png?width=75&height=75&resize=contain,False,['politics'],4036,True,,False,5185759,False,,,,#28A99D,en,4036,4,True,3965d8f0-9cbb-442c-adaf-a84b49495140,1658238539,1744741367
Geopolitical Report,https://www.geopolitical.report/,"Providing geopolitical intelligence dashboards, daily newsletters, and reports with maps, casualty data, sources, and analysis discussing the most important global issues.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1734752563499-GeoPioneer-Webclip.png?width=75&height=75&resize=contain,False,['politics'],3986,True,,False,1240764,False,,,,#f56e14,en,3986,4,True,d1b252fa-3b0b-48ee-95a9-aacf94268314,1660081537,1744826420
Project Minnesota,https://www.projectminnesota.com/,We the People are reforming elections today,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1729571701196-700.png?width=75&height=75&resize=contain,False,['politics'],2712,True,22,True,6271830,False,,,,#000dff,en,2928.4,0,True,77003320-bf37-4ffc-961b-f56b5c39ca76,1729571703,1729570157
Culture Wars,https://www.culturewars.it/,"La newsletter sugli scontri di civiltà al tempo degli algoritmi, per parlare di ciò di cui non si riesce a parlare sui social. Di Davide Piacenza.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1678398341236-Progetto-senza-titolo--13-.png?width=75&height=75&resize=contain,False,['politics'],2906,True,,False,13148507,False,,,,#ff1a75,it,2906,1,True,266a353c-b808-476e-8e00-3f684239ba4e,1678398342,1744446049
Lauren Razavi,https://lraz.io/,"I work as Executive Director at SafetyWing, where I lead the Plumia mission to build a country on the internet. My website covers remote work, digital nomads, borderless living and internet countries.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668840597221-Lauren_Razavi_2022_cropped.jpg?width=75&height=75&resize=contain,False,['politics'],2882,True,,False,2203840,False,,,,#000000,en,2882,0,False,75a6d662-cfcc-45fa-8822-4db1956984ce,1668840182,1700528005
Arete News,https://www.aretenews.com/,"Conceived in Geneva’s hub of multilateralism, Arete News provides independent, accurate coverage of the world’s leading international organizations.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668115923335-index.png?width=75&height=75&resize=contain,False,['politics'],2677,True,,False,12386679,False,,,,#1858a0,en,2677,0,True,ef8b9a46-c4ce-4065-8c2e-5a9b57b09e17,1668115927,1744797624
UBI Guide,https://www.scottsantens.com/,The home of author and long-time advocate of unconditional universal basic income (UBI) - Scott Santens,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670884118743-favicon.ico?width=75&height=75&resize=contain,False,['politics'],2675,True,,False,439214,False,,,,#000000,en,2675,11,True,c0fc403e-1700-4e7a-9d8e-108b61d6e601,1670884121,1740182568
Promethean Action,https://www.prometheanaction.com/,We're an American political movement dedicated to defying oligarchy & unleashing the fire of human creativity! We promote Trump's economic vision widely.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1742667257601-Temp-Logo--2-.png?width=75&height=75&resize=contain,False,['politics'],2624,True,,False,3466993,False,,,,#d11414,en,2624,4,True,144c4f81-23ff-47cd-9de5-416e10529867,1742667258,1744740801
Blogs of War,https://blogsofwar.com/,"Covering the convergence of intelligence, tech, and conflict since 2002.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666576636379-BoW-2022-Twitter-Avatar-1-.png?width=75&height=75&resize=contain,False,['politics'],2287,True,,False,155417,False,,,,#15171A,en,2287,1,True,1c834604-ce31-4f79-9624-d1b4f14f7bf6,1666576509,1717877894
